GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mfaminc,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,99758,AK,99758,99758,87386,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99759,AK,99759,99759,110577,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99760,AK,99760,99760,90313,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99761,AK,99761,99761,81625,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99762,AK,99762,99762,135417,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99763,AK,99763,99763,84167,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99764,AK,99764,99764,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99765,AK,99765,99765,53854,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99766,AK,99766,99766,73750,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99767,AK,99767,99767,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99768,AK,99768,99768,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99769,AK,99769,99769,54375,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99770,AK,99770,99770,50625,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99771,AK,99771,99771,80833,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99772,AK,99772,99772,60208,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99773,AK,99773,99773,107500,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99774,AK,99774,99774,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99775,AK,99775,99775,71978,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99776,AK,99776,99776,47500,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99777,AK,99777,99777,89750,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99778,AK,99778,99778,46250,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99780,AK,99780,99780,66058,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99781,AK,99781,99781,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99782,AK,99782,99782,94625,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99783,AK,99783,99783,47917,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99784,AK,99784,99784,58750,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99785,AK,99785,99785,38897,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99786,AK,99786,99786,55288,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99788,AK,99788,99788,N/A,2020-2024,2020,Census,United States (Nation)
