GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mfaminc,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,99663,AK,99663,99663,81786,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99664,AK,99664,99664,95547,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99665,AK,99665,99665,60000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99666,AK,99666,99666,26750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99667,AK,99667,99667,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99668,AK,99668,99668,30000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99669,AK,99669,99669,93576,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99670,AK,99670,99670,108125,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99671,AK,99671,99671,43333,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99672,AK,99672,99672,107571,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99674,AK,99674,99674,57813,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99676,AK,99676,99676,88472,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99677,AK,99677,99677,50833,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99678,AK,99678,99678,41667,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99679,AK,99679,99679,29063,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99680,AK,99680,99680,37188,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99681,AK,99681,99681,32375,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99682,AK,99682,99682,44688,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99683,AK,99683,99683,75250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99684,AK,99684,99684,80625,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99685,AK,99685,99685,102500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99686,AK,99686,99686,101080,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99688,AK,99688,99688,63000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99689,AK,99689,99689,78125,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99690,AK,99690,99690,48125,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99691,AK,99691,99691,37500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99692,AK,99692,99692,79250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99693,AK,99693,99693,67500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99694,AK,99694,99694,66000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99695,AK,99695,99695,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99701,AK,99701,99701,75173,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99702,AK,99702,99702,73357,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99703,AK,99703,99703,54934,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99704,AK,99704,99704,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99705,AK,99705,99705,94720,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99706,AK,99706,99706,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99709,AK,99709,99709,98208,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99712,AK,99712,99712,106971,2015-2019,2010,Census,United States (Nation)
